date,bull,crash,sideways
2018-04-20,0.3039743819673897,0.5219129703310702,0.1741126477007597
2018-04-23,0.03443745713770971,0.945801634458252,0.019760908404834507
2018-04-24,0.023944301964081142,0.08409744474367851,0.8919582532918967
2018-04-25,0.017634633562205675,0.9441534581377687,0.0382119083003796
2018-04-26,0.004333036503210903,0.9946847205487044,0.000982242948642188
2018-04-27,7.153204839092205e-05,0.99503616407299,0.00489230387825699
2018-04-30,1.032257623457572e-05,0.8419030734333547,0.15808660399034422
2018-05-01,9.377716375231164e-06,0.9873062603735695,0.012684361909486769
2018-05-02,3.20129903717817e-06,0.9325081722276458,0.0674886264731895
2018-05-03,1.5638373421096133e-05,0.9719835564239463,0.02800080520311484
2018-05-04,5.645992862313065e-05,0.9984988471768046,0.001444692895307332
2018-05-07,1.043289712590517e-06,0.9991855105039468,0.0008134462064743639
2018-05-08,1.0691170177451663e-07,0.9655847782933661,0.03441511479433754
2018-05-09,1.0960523371049114e-05,0.9989051391647377,0.0010839003118296962
2018-05-10,2.966707557532706e-06,0.9996984164443334,0.0002986168478896849
2018-05-11,1.1080989020048298e-07,0.9991464147228484,0.0008534744668622506
2018-05-14,1.1377723592152033e-07,0.9928774654370226,0.007122420785482805
2018-05-15,9.760662989153828e-06,0.7882931280392635,0.21169711129830357
2018-05-16,9.13229168749126e-06,0.9758946238285308,0.024096243879587694
2018-05-17,6.645489104193211e-07,0.9819137692716299,0.018085566179748505
2018-05-18,8.472614210665175e-07,0.9266845633293194,0.07331458940942864
2018-05-21,3.863468231481844e-06,0.9867105513847503,0.013285585146479907
2018-05-22,5.751570730181127e-07,0.9681488438174474,0.031850581026220556
2018-05-23,1.15985065568328e-06,0.9536134349214715,0.04638540522843476
2018-05-24,1.8503599753469132e-06,0.8870452559640899,0.11295289367569902
2018-05-25,4.16638684282498e-06,0.9015146766019059,0.09848115701148236
2018-05-29,1.1653811427383534e-06,2.4721837173867484e-05,0.9999741127816598
2018-05-30,0.0013279801447950307,0.8372034401638725,0.16146857969175407
2018-05-31,0.00010417122661124031,0.8123410614501495,0.18755476732325757
2018-06-01,6.356958016456842e-05,0.9973494679205813,0.0025869624989820457
2018-06-04,6.771501812597487e-07,0.9987151999522232,0.001284122897355638
2018-06-05,1.117267972617375e-07,0.9990475026348404,0.0009523856383978811
2018-06-06,8.83985849460458e-08,0.9994137341829086,0.0005861774190974607
2018-06-07,1.1088013400814205e-07,0.9990136324512809,0.0009862566679744089
2018-06-08,4.526452873404736e-08,0.9989716902147651,0.0010282645212483503
2018-06-11,4.3520068746146404e-08,0.9970590996935517,0.0029408567856876095
2018-06-12,2.561112523259683e-07,0.8450557665131347,0.15494397737625254
2018-06-13,5.469304133408691e-06,0.9273808175289324,0.07261371316712606
2018-06-14,3.3273675771679447e-06,0.6782328362122462,0.3217638364209126
2018-06-15,1.6733742944896254e-05,0.5478295432452712,0.4521537230112563
2018-06-18,1.8944973350512874e-05,0.9041886013673206,0.09579245365884154
2018-06-19,8.38147020468232e-06,0.6583499068422317,0.34164171168792984
2018-06-20,2.137466379930285e-06,0.0021326575088658393,0.9978652050239094
2018-06-21,5.670594943690342e-05,0.005637004600920749,0.9943062894494922
2018-06-22,8.459246726649303e-05,0.6804699612359341,0.3194454462960937
